TERT	12	380	6.66133814775094e-16	3.85824705517734e-12	0.0315789473684211
MIR614	8	96	3.21964677141295e-15	1.86449744532524e-11	0.0833333333333333
MIR449B	4	23	1.80723214171508e-11	1.04638741005303e-07	0.173913043478261
LINC00616	5	146	1.80358622481336e-08	0.000104409606554445	0.0342465753424658
TNFRSF8	3	50	2.69612185910262e-08	0.00015605153320486	0.06
OTOS	4	165	7.58439789860788e-08	0.000438909106392438	0.0242424242424242
ARMC12	4	181	1.14271848206116e-07	0.000661176913720585	0.0220994475138122
LINC00229	4	132	1.32478017000892e-07	0.000766385328350161	0.0303030303030303
RP11-157E21.1	3	66	1.38364224189225e-07	0.000800298672710476	0.0454545454545455
RP11-864N7.1	3	73	2.69035001831952e-07	0.00155582941559418	0.0410958904109589
PLXDC1	6	674	2.84615529588805e-07	0.00164564699208247	0.00890207715133531
RP4-777O23.1	3	93	6.24010379923767e-07	0.0036074040063393	0.032258064516129
OVCH2	3	87	7.04698503661838e-07	0.00407315735116542	0.0344827586206897
DHFRP2	3	106	7.63681570425945e-07	0.00441331579549153	0.0283018867924528
RP3-510O8.4	4	302	1.26116202958659e-06	0.00728699420695134	0.0132450331125828
AL137846.1	3	114	1.57414779988763e-06	0.00909385183995082	0.0263157894736842
PDE4C	6	1097	2.12042739577978e-06	0.012247588638024	0.00546946216955333
GLE1	4	342	2.93454128741377e-06	0.0169469759348145	0.0116959064327485
C5orf15	5	672	4.22568259728084e-06	0.0243990913166996	0.00744047619047619
LINC00556	2	46	4.34662459103397e-06	0.0250930637640391	0.0434782608695652
KB-288A10.19	2	32	5.70143476941176e-06	0.0329086814890447	0.0625
MEF2C	5	295	7.35497177639655e-06	0.0424455421215845	0.0169491525423729
