TERT	5	556	2.63963295665803e-11	1.9559680208836e-08	0.00899280575539568
RP11-511I2.2	2	207	1.03156838460183e-06	0.000763360604605356	0.00966183574879227
RP11-60A8.1	2	295	2.34932293952106e-06	0.00173614965230606	0.00677966101694915
RAB3B	2	466	5.79305980019651e-06	0.00427527813254502	0.00429184549356223
RNU6-2	2	580	1.43976702514648e-05	0.0106110829753295	0.00344827586206897
TMEM259	2	637	1.70035532952584e-05	0.0125146152253102	0.00313971742543171
ASS1P11	1	35	1.84148470677714e-05	0.013534912594812	0.0285714285714286
RP1-202O8.2	1	78	1.86369780711404e-05	0.0136795419042171	0.0128205128205128
RNA5SP51	2	113	1.87975186399259e-05	0.0137785811630657	0.0176991150442478
KB-1615E4.2	1	99	2.01294454508227e-05	0.0147347540700022	0.0101010101010101
SAMD7	1	101	2.82661919059901e-05	0.0206625862832788	0.0099009900990099
RP11-797A18.6	1	172	3.21226544076625e-05	0.0234495377175936	0.00581395348837209
ALDH3B1	2	1071	3.22646026029716e-05	0.0235208952975663	0.00186741363211951
CNOT6	2	842	3.45150764231583e-05	0.0251269756360593	0.00237529691211401
RP11-510N19.2	1	173	3.975116188637e-05	0.028899094691391	0.00578034682080925
RP5-1011O1.3	1	64	4.13272118524599e-05	0.0300035558048859	0.015625
RP11-404O18.1	1	62	4.2574827806785e-05	0.0308667501599191	0.0161290322580645
FCF1P7	1	178	4.79187660997749e-05	0.034693186656237	0.00561797752808989
RP11-98L5.4	1	181	4.79295470261487e-05	0.034693186656237	0.00552486187845304
RN7SL114P	1	114	4.8013242532563e-05	0.034693186656237	0.0087719298245614
MC2R	1	148	5.04129312943746e-05	0.0363477234632441	0.00675675675675676
AC005329.7	1	206	5.25623743351522e-05	0.0378449095213096	0.00485436893203883
IGF1	1	112	5.48466044258955e-05	0.0394347085822189	0.00892857142857143
OR7E43P	1	87	5.59520791025836e-05	0.040173592795655	0.0114942528735632
RP11-232C2.1	1	109	5.78311714151125e-05	0.0414649499046357	0.00917431192660551
CTD-2325P2.3	1	199	5.83232028689151e-05	0.0417594132541432	0.0050251256281407
SPECC1	2	788	6.2295813494484e-05	0.0445415066485561	0.00253807106598985
AC144836.1	1	168	6.28606789332409e-05	0.044882524758334	0.00595238095238095
RNU6-1286P	1	66	6.63348670825181e-05	0.0472967602298354	0.0151515151515152
METTL11B	1	152	6.80691711691939e-05	0.048465249872466	0.00657894736842105
