RN7SL391P	2	41	8.11605719852615e-07	0.00170843004028975	0.0487804878048781
RP11-247A12.2	3	205	1.08125721931529e-06	0.00227496518943937	0.0146341463414634
RP11-247A12.8	3	205	1.08125721931529e-06	0.00227496518943937	0.0146341463414634
RP11-624L4.1	3	217	1.46721613214496e-06	0.0030840883097687	0.0138248847926267
PRNT	2	68	1.55753325215002e-06	0.0032723773627672	0.0294117647058824
RXRB	4	277	1.7508638111563e-06	0.00367681400342823	0.0144404332129964
RP11-343C2.10	2	131	2.57035496742386e-06	0.00539517507662268	0.0152671755725191
UBE2V1	3	125	3.48946801109751e-06	0.00732090388728257	0.024
CHMP1B	3	79	4.28943856101149e-06	0.0089949526624411	0.0379746835443038
DGKI	3	292	6.46057074671358e-06	0.0135413562851117	0.0102739726027397
PPM1E	1	16	9.17016421297934e-06	0.0192114940261917	0.0625
RP11-30K9.5	2	121	1.58114998468628e-05	0.0331092806793307	0.0165289256198347
VARS	2	147	1.76309109618522e-05	0.0369014966431567	0.0136054421768707
VWA7	2	147	1.76309109618522e-05	0.0369014966431567	0.0136054421768707
LRPPRC	3	210	1.85108773672615e-05	0.0387062445749439	0.0142857142857143
