FKBP9L	2	32	9.99492363318311e-08	0.000304945120048417	0.0625
PIGU	4	667	1.16193026422629e-07	0.000354388730589017	0.00599700149925037
RNF121	4	562	1.72029549161401e-07	0.000524518095393112	0.00711743772241993
RP11-849H4.2	4	562	1.72029549161401e-07	0.000524518095393112	0.00711743772241993
LA16c-321D4.1	2	103	6.15676431281464e-07	0.00187596608611462	0.0194174757281553
RP11-16B9.1	3	185	9.4946908379967e-07	0.00289208282925379	0.0162162162162162
GXYLT1	4	516	1.6590867147892e-06	0.00505191904653313	0.00775193798449612
PAN2	3	413	1.99952414481341e-06	0.00608655149681203	0.00726392251815981
RP11-146F11.1	4	1072	2.2264479092593e-06	0.00677508098787605	0.00373134328358209
AC005264.2	2	131	2.3111298927958e-06	0.00703045713388484	0.0152671755725191
RELB	3	778	2.59108879130387e-06	0.00787950101435508	0.0038560411311054
TMEM177	3	421	3.67915428500787e-06	0.0111846290264239	0.00712589073634204
DIS3L2P1	2	163	3.80600949423382e-06	0.0115664628529766	0.0122699386503067
AC010976.2	3	515	3.93275769350332e-06	0.0119477178728631	0.0058252427184466
INTS7	4	748	4.23953042150149e-06	0.0128754538901	0.0053475935828877
ZNF75A	3	459	4.55939926569116e-06	0.0138423361706383	0.0065359477124183
TIGD7	3	459	4.55939926569116e-06	0.0138423361706383	0.0065359477124183
TMEM87B	4	1285	5.73916089074977e-06	0.0174126141425348	0.00311284046692607
SRCAP	4	1359	6.75601587141195e-06	0.0204909961379924	0.00294334069168506
TNFSF11	1	11	7.60782351405531e-06	0.0230669208946157	0.0909090909090909
AC026703.2	3	416	8.19287981446148e-06	0.0248326187176328	0.00721153846153846
OR5P3	2	131	8.46784625618824e-06	0.0256575741562504	0.0152671755725191
XRCC2	4	555	8.47287182037526e-06	0.0256643287439167	0.00720720720720721
MPHOSPH9	3	661	8.48668462738456e-06	0.0256976810517204	0.00453857791225416
ABHD17A	2	248	9.98809816610269e-06	0.0302339731487928	0.00806451612903226
SLC14A1	2	161	1.10712115048983e-05	0.0335014860138223	0.0124223602484472
PPP6R3	3	664	1.13838034891955e-05	0.0344360055548165	0.00451807228915663
ADAMTS2	1	10	1.15310684775105e-05	0.0348699510759918	0.1
RNF14	3	469	1.16866432714469e-05	0.0353287226095839	0.00639658848614072
LOC440461	2	141	1.25881941123174e-05	0.0380415226074231	0.0141843971631206
FIBP	3	725	1.31679253720929e-05	0.0397803025490926	0.00413793103448276
CCDC151	3	583	1.34349011775559e-05	0.0405734015562187	0.00514579759862779
DDX17	4	1625	1.34853504534238e-05	0.0407122730188865	0.00246153846153846
FREM1	1	20	1.4012844377187e-05	0.0422907643303503	0.05
IRF9	2	252	1.65550524852121e-05	0.0499465933478848	0.00793650793650794
